loss, perc_non_zero_loss
2.494893,0.3423905874904371
2.442356,0.2661777508111958
2.1242027,0.23317593056691377
1.69515,0.2059250270398607
1.6237481,0.19120479067190757
1.6834416,0.17706492204606009
1.5162692,0.16616983670562166
1.4472176,0.1572796581106392
1.3482038,0.15036800590919883
1.5897181,0.1418999129448387
1.1300684,0.13686126572928484
1.3718479,0.1331680164613396
1.5426474,0.12757538185559394
1.0157399,0.12132323845200095
1.4020836,0.11995146015247843
1.7178477,0.11784103199936687
1.3028245,0.11762998918405572
1.2000066,0.11438520589864669
1.3414537,0.11121956366897934
1.489533,0.10979502466562904
